Field=#~Integer~#~50|Field=Index~String~Index~50|Field=Designator~String~Designator~100|Field=Description~String~Description~100|Field=Footprint~String~Footprint~100|Field=Quantity~Integer~Quantity~100|Field=Tolerance~String~Tolerance~100|Field=Layer~String~Layer~100|Field=SAP~String~SAP~100|Field=Category~String~Category~100|Field=Manufacturer~String~Manufacturer~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=Package~String~Package~100|Field=Price~String~Price~100|Field=Remarks~String~Remarks~100|Field=Supplier~String~Supplier~100|Field=Supplier Order Code~String~Supplier Order Code~100|Field=Type~String~Type~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LED_MAT_3.PRJPCB|ReportField=ProjectFullPath~D:\PROJECTS\LED_MATRIX\Design\PCB\LED_MAT_3\Release2\LED_MAT_3.PRJPCB|ReportField=Title~Advanced Bill of Materials For Variant [LED_MAT_3 - 2nd Run] of Project [LED_MAT_3.PRJPCB] (PCB Document : LED_MAT.PcbDoc)|ReportField=ReportTime~14:22:51|ReportField=ReportDate~07/09/2018|ReportField=ReportDateTime~07/09/2018 14:22:51|ReportField=OutputName~Advanced Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~LED_MAT_3 - 2nd Run|ReportField=TotalQuantity~203|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~460|ReportField=ProjectName~LED_MAT3|ReportField=Revision~2.0|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ContentRev1~Original Document|ReportField=ContentRev2~Test pin added|ReportField=ContentRev3~|ReportField=ContentRev4~|ReportField=ContentRev5~|ReportField=ContentRev6~|ReportField=CurrentDate~07/09/2018|ReportField=CurrentTime~14:21:05|ReportField=Customer~BCM|ReportField=Date~|ReportField=dateREV1~"Aug/08/2018"|ReportField=dateREV2~"Sep/03/2018"|ReportField=dateREV3~|ReportField=dateREV4~|ReportField=dateREV5~|ReportField=dateREV6~|ReportField=DocumentFullPathAndName~D:\PROJECTS\LED_MATRIX\Design\PCB\LED_MAT_3\Release2\Top.SchDoc|ReportField=DocumentName~Top.SchDoc|ReportField=DocumentNumber~|ReportField=DocumentType~|ReportField=DocumentType1st~|ReportField=DocumentType2nd~|ReportField=DrawnBy~DS|ReportField=Engineer~DS|ReportField=ImagePath~|ReportField=ModifiedDate~05/09/2018|ReportField=NameRev1~V1|ReportField=NameRev2~V2|ReportField=NameRev3~|ReportField=NameRev4~|ReportField=NameRev5~|ReportField=NameRev6~|ReportField=NormInspection~|ReportField=Organization~BCM|ReportField=ProcessInspection~|ReportField=Project~LED_MAT_3|ReportField=Rev1~V1|ReportField=Rev2~V2|ReportField=Rev3~|ReportField=Rev4~|ReportField=Rev5~|ReportField=Rev6~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~7|ReportField=Time~|ReportField=Title~Top Connections|ReportField=Title1st~|ReportField=Title2nd~|ReportField=DataSourceFileName~LED_MAT_3.PRJPCB|ReportField=DataSourceFullPath~D:\PROJECTS\LED_MATRIX\Design\PCB\LED_MAT_3\Release2\LED_MAT_3.PRJPCB|ReportField=PCBDataSourceFileName~LED_MAT.PcbDoc|ReportField=PCBDataSourceFullPath~D:\PROJECTS\LED_MATRIX\Design\PCB\LED_MAT_3\Release2\LED_MAT.PcbDoc|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 28, 29, 35, 36, 91, 92, 96|C1_1, C1_2, C1_3, C2_1, C2_2, C2_3, C3_1, C3_2, C3_3, C4, C7, C23, C24, C31, C32, C90, C91, C95|Capacitor ceramic|CAPC1005L|18||Top|25311||SAMSUNG|CL05B104KO5NNNC|0402|0.2|||||100nF
2|11, 30, 83, 84|C5, C25, C82, C83|Capacitor SMD|CAPC1608L|4|5%|Top|6269||SAMSUNG|CL21B104KBCNNNC|0805|0.07|||||100nF
3|13, 14|C8, C9|Capacitor ceramic|CAPC1608L|2|5%|Top|27149|Capacitor|SAMSUNG|CL10C100JB8NNNC|0603|0.2||||COG|10pF
4|15, 16, 31, 32, 89|C10, C11, C26, C27, C88|Capacitor ceramic|CAPC1608L|5|5%|Top|20669|Capacitor|MURATA|GRM1885C1H102JA01D|0603|0.2||||NPO|1nF
5|17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 71, 73, 74, 77, 79, 81|C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C52, C53, C54, C55, C56, C57, C58, C59, C61, C62, C64, C65, C66, C67, C69, C71, C72, C75, C77, C79|Capacitor ceramic|CAPC1005L|49||Bottom|25311||SAMSUNG|CL05B104KO5NNNC|0402|0.2|||||100nF
6|33|C29|Capacitor SMD|CAPC2012L|1|20%|Top|21298||TDK|C2012X7R1C225K125AB|0805|0.63|||||2.2uF
7|34|C30|Capacitor ceramic|CAPC1608L|1|5%|Bottom|27149|Capacitor|SAMSUNG|CL10C100JB8NNNC|0603|0.2||||COG|10pF
8|55, 70, 72, 75, 76, 78, 80, 82|C51, C68, C70, C73, C74, C76, C78, C80|Capacitor ceramic|CAPC2012L|8||Bottom|28046, 15447||||0805|0.2|||||10uF
9|85, 86, 87, 88, 90, 93|C84, C85, C86, C87, C89, C92|Capacitor ceramic|CAPC2012L|6||Top|28046, 15447||||0805|0.2|||||10uF
10|94, 95|C93, C94|Capacitor ceramic|CAPC1608L|2||Top|21527||||0603|0.2|||||100nF
11|97|DA1|Very low capacitance ESD protection|SOT95P280X110-6L|1||Top|27426||ST|USBLC6-2SC6||20|||||USBLC6-2
12|98|DA2|2.5 MHz Dual Switching Regulator, 2A|TSOP65P640X110_HS320X320-16L|1||Top|19450||SEMTECH|SC2440TETRT|TSSOP-16|43.16|||||
13|99|DA4|500mA, Low-Noise LDO Voltage Regulator|TI-DBV6_N|1|1%|None|16960||SIPEX|SPX3819M5-2-5|SOT23-5|5.2||||IC|SPX3819M5-2-5
14|100, 101, 102, 103, 104, 105, 106, 107, 108|DD1_1, DD1_2, DD1_3, DD2_1, DD2_2, DD2_3, DD3_1, DD3_2, DD3_3|Octal 3-State Noninverting Bus Transceiver|PW020_N|9||Top|12529||NEXPERIA|SN74HCT245PW|SO-20|3.14|||||
15|109|DD4|USB to UART bridge|QFN50P500X500-28V1N|1||Top|30088||SILICON|CP2102-GMR|QFN28|2|||||CP2102-GMR
16|110|DD5|FPGA|BGA100P16X16-256|1||Top|XXX||ALTERA|10M40DCF256C7GA|BGA256|1800||ARROW|||
17|111|DD6|M24C64-WMN6TP|SOIC127P600-8N|1|./.|Top|53437|I2C EEPROM|ST|M24C64-WMN6TP|SO8|7.02|./.|||M24C64-WMN6TP|M24C64-WMN6TP
18|112, 114|IC1, IC3|Low Capacitance Transient Voltage   Suppressors Diode Array|SOT23-6 (DBV)|2||Top|32154|Diode|SEMTECH|SRV05-4.TCT|SOT23-6L|9.79|./.|Digikey|SRV05-4TR-ND||SRV05-4
