Altium Designer Pick and Place Locations
D:\PROJECTS\LED_MATRIX\Design\PCB\LED_MAT_3\Release2\Project Outputs for LED_MAT_3\Fabrication\Pick Place\LED_MAT_3_2.0(2018-09-01).txt

========================================================================================================================
File Design Information:

Date:       01/09/18
Time:       13:25
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                                Layer       Footprint                          Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                             
1V2        TP_TH                                  TopLayer    TP_TH_1MM                          86.7000      17.9000      0        "Testpoint, through hole"                                                                                                                               
GND.       TP_TH                                  TopLayer    TP_TH_1MM                          91.1000      17.9000      0        "Testpoint, through hole"                                                                                                                               
2V5        Ø1.0mm,SMD                             TopLayer    TP_SMD_1MM                         73.0000      41.2000      90       "circular SMD testpad 1mm"                                                                                                                              
3V3        TP_TH                                  TopLayer    TP_TH_1MM                          10.0000      43.2000      0        "Testpoint, through hole"                                                                                                                               
GND        TP_TH                                  TopLayer    TP_TH_1MM                          2.2000       43.2000      0        "Testpoint, through hole"                                                                                                                               
DCLK       Ø1.0mm,SMD                             TopLayer    TP_SMD_1MM                         114.9000     51.7000      90       "circular SMD testpad 1mm"                                                                                                                              
PCLK       Ø1.0mm,SMD                             TopLayer    TP_SMD_1MM                         46.9000      39.8000      0        "circular SMD testpad 1mm"                                                                                                                              
R60        "1k / 1% / 0603 / TC100 / 50V / 0.1W"  TopLayer    RESC1608L                          61.0000      8.8000       90       Resistor                                                                                                                                                
L4         CompType                               BottomLayer INDC2012L                          69.9686      34.8000      360      "Ferrite bead"                                                                                                                                          
C30        "10pF / 0603 / COG / 50V"              BottomLayer CAPC1608L                          55.4000      39.6000      270      "Capacitor ceramic"                                                                                                                                     
U4         CompType                               TopLayer    TSSOP65-8L_-_DCT_(R-PDSO-G8)       16.4000      18.6000      0        "Bidirectional Translator"                                                                                                                              
SW1        "DIP SW 4pol, 1.27mm"                  TopLayer    Dipswitch_4_SO8_a                  105.3000     40.9000      360      "DIP SW 4pol, 1.27mm"                                                                                                                                   
R59        "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          110.7000     43.4000      180      Resistor                                                                                                                                                
R58        "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          110.7000     42.1000      180      Resistor                                                                                                                                                
R57        "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          110.7000     40.8000      180      Resistor                                                                                                                                                
R56        "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          110.7000     39.5000      180      Resistor                                                                                                                                                
R55        "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          100.1000     43.4000      180      Resistor                                                                                                                                                
R54        "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          100.1000     42.1000      180      Resistor                                                                                                                                                
R53        "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          100.1000     40.8000      180      Resistor                                                                                                                                                
R52        "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          100.1000     39.5000      180      Resistor                                                                                                                                                
R51        "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          13.6000      15.9000      180      Resistor                                                                                                                                                
R44        "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          12.9000      24.6000      270      Resistor                                                                                                                                                
R43        "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          17.0000      14.0000      360      Resistor                                                                                                                                                
R12        "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          14.2000      10.9000      360      Resistor                                                                                                                                                
R11        "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          14.2000      12.4000      180      Resistor                                                                                                                                                
IC3        "SRV05-4.TCT/5V/300W/TVS Diode Array"  TopLayer    SOT23-6_(DBV)                      22.5000      19.0000      180      "Low Capacitance Transient Voltage   Suppressors Diode Array"                                                                                           
IC1        "SRV05-4.TCT/5V/300W/TVS Diode Array"  TopLayer    SOT23-6_(DBV)                      22.5000      14.9000      180      "Low Capacitance Transient Voltage   Suppressors Diode Array"                                                                                           
VD9        PS2705A-1                              TopLayer    PS2705A-1                          43.7000      16.9000      180      "Photocoupler, SOP package"                                                                                                                             
R50        "30.1k / 1% / 0603"                    TopLayer    RESC1608L                          77.2000      49.5000      270      "30.1k / 1% / 0603"                                                                                                                                     
R49        "31.6k / 1% / 0603"                    TopLayer    RESC1608L                          77.2000      47.0000      270      "31.6k / 1% / 0603"                                                                                                                                     
R48        "1k / 1% / 0603 / TC100 / 50V / 0.1W"  TopLayer    RESC1608L                          40.2000      19.5000      270      Resistor                                                                                                                                                
R47        "0 / 1% / 0603"                        TopLayer    RESC1608L                          104.4000     8.4000       180      "0 / 1% / 0603"                                                                                                                                         
R46        "0 / 1% / 0603"                        TopLayer    RESC1608L                          104.4000     23.6000      180      "0 / 1% / 0603"                                                                                                                                         
R45        "0 / 1% / 0603"                        TopLayer    RESC1608L                          104.5000     27.7000      360      "0 / 1% / 0603"                                                                                                                                         
R31        "0 / 1% / 0603"                        TopLayer    RESC3216L                          112.0000     27.6000      360      "0 / 1% / 0603"                                                                                                                                         
X10        Molex_743201004                        TopLayer    DVI_29pol_/_Female_Insertion_/_90° 30.2010      5.8900       360      "DVI Connector"                                                                                                                                         
DD3_3      SN74HCT245PW                           TopLayer    PW020_N                            16.3000      51.5000      90       "Octal 3-State Noninverting Bus Transceiver"                                                                                                            
Y1         25MHz                                  TopLayer    SMD03025/4CC                       58.6000      45.0000      270      "SMD Oscillator with Stop Function"                                                                                                                     
XP1        "Header 5X2"                           TopLayer    PLD10                              6.1000       34.1000      270      "Header, 5-Pin, Dual row"                                                                                                                               
VD1        #NAME?                                 TopLayer    LED3216X10L                        82.0000      2.6000       90       "SMD LED GREEN"                                                                                                                                         
U1         TFP401A_2                              TopLayer    100_LQFP_(14x14)                   27.5000      32.2000      180      "PanelBus DVI Receiver 165MHz, HSYNC fix"                                                                                                               
R34        "10k / 1% / 0603 / TC100 / 50V / 0.1W" BottomLayer RESC1608L                          67.6000      44.8000      270      Resistor                                                                                                                                                
R33        "10k / 1% / 0603 / TC100 / 50V / 0.1W" BottomLayer RESC1608L                          55.2000      43.4000      180      Resistor                                                                                                                                                
R32        "10k / 1% / 0603 / TC100 / 50V / 0.1W" BottomLayer RESC1608L                          66.0000      44.8000      270      Resistor                                                                                                                                                
R30        "13.3k / 1% / 0603"                    TopLayer    RESC1608L                          123.2000     21.6000      270      "13.3k / 1% / 0603"                                                                                                                                     
R29        "1k / 1% / 0603 / TC100 / 50V / 0.1W"  TopLayer    RESC1608L                          4.4000       44.7000      180      Resistor                                                                                                                                                
R28        "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          10.4000      25.9000      180      Resistor                                                                                                                                                
R27        "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          6.2000       25.9000      360      Resistor                                                                                                                                                
R26        "10R / 1% / 0603"                      TopLayer    RESC1608L                          12.9000      22.0000      270      "10R / 1% / 0603"                                                                                                                                       
R25        "10k / 1% / 0603 / TC100 / 50V / 0.1W" BottomLayer RESC1608L                          69.1000      44.8000      270      Resistor                                                                                                                                                
R24        "16.9k / 1% / 0603"                    TopLayer    RESC1608L                          123.3000     10.6000      90       "16.9k / 1% / 0603"                                                                                                                                     
R23        "10R / 1% / 0603"                      TopLayer    RESC1608L                          12.9000      17.8000      90       "10R / 1% / 0603"                                                                                                                                       
R22        "4.7k / 1% / 0603"                     TopLayer    RESC1608L                          7.8000       50.5000      90       "4.7k / 1% / 0603"                                                                                                                                      
R21        "4.7k / 1% / 0603"                     TopLayer    RESC1608L                          55.0000      12.0000      270      "4.7k / 1% / 0603"                                                                                                                                      
R20        "0R / 1A / 0603 / TC100 / 50V / 0.1W"  TopLayer    RESC1608L                          54.8000      8.2000       360      Resistor                                                                                                                                                
R19        "0R / 1A / 0603 / TC100 / 50V / 0.1W"  TopLayer    RESC1608L                          57.1000      8.9000       270      Resistor                                                                                                                                                
R18        "1k / 1% / 0603 / TC100 / 50V / 0.1W"  TopLayer    RESC1608L                          59.6000      8.8000       90       Resistor                                                                                                                                                
R17        "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          31.5000      16.8000      360      Resistor                                                                                                                                                
R16        "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          31.5000      15.4000      360      Resistor                                                                                                                                                
R15        "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          38.2000      26.7000      180      Resistor                                                                                                                                                
R14        "1k / 1% / 0603 / TC100 / 50V / 0.1W"  TopLayer    RESC1608L                          37.6000      28.7000      270      Resistor                                                                                                                                                
R13        "0R / 2A / 0805/ TC100 / 50V / 0.125W" TopLayer    RESC2012L                          29.4000      13.4000      270      Resistor                                                                                                                                                
R10        "1k / 1% / 0603 / TC100 / 50V / 0.1W"  TopLayer    RESC1608L                          114.7000     1.9000       90       Resistor                                                                                                                                                
R9         "10R / 1% / 0603"                      TopLayer    RESC1608L                          56.6000      41.5000      270      "10R / 1% / 0603"                                                                                                                                       
R8         "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          11.1000      31.2000      90       Resistor                                                                                                                                                
R7         "10R / 1% / 0603"                      TopLayer    RESC1608L                          49.7000      39.8000      360      "10R / 1% / 0603"                                                                                                                                       
R6         "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          13.5000      31.2000      270      Resistor                                                                                                                                                
R5         "1k / 1% / 0603 / TC100 / 50V / 0.1W"  TopLayer    RESC1608L                          109.6000     1.9000       90       Resistor                                                                                                                                                
R4         "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          77.0000      8.3000       90       Resistor                                                                                                                                                
R3         "10k / 1% / 0603 / TC100 / 50V / 0.1W" TopLayer    RESC1608L                          75.6000      8.3000       90       Resistor                                                                                                                                                
R2         5.1k                                   TopLayer    RESC1608L                          82.0000      6.6000       270      "Resistor SMD"                                                                                                                                          
R1         5.1k                                   TopLayer    RESC1608L                          79.6000      17.5000      180      "Resistor SMD"                                                                                                                                          
P4         "Header 8X2H"                          TopLayer    HDR2X8H                            116.2300     38.8500      270      "Header, 8-Pin, Dual row, Right Angle"                                                                                                                  
P3_3       "Header 10X2H"                         TopLayer    HDR2X10H                           26.4300      58.7300      360      "Header, 10-Pin, Dual row, Right Angle"                                                                                                                 
P3_2       "Header 10X2H"                         TopLayer    HDR2X10H                           63.9300      58.8300      360      "Header, 10-Pin, Dual row, Right Angle"                                                                                                                 
P3_1       "Header 10X2H"                         TopLayer    HDR2X10H                           100.9300     58.7700      360      "Header, 10-Pin, Dual row, Right Angle"                                                                                                                 
P2         TIANMA_TM043NBH02                      TopLayer    OUPIN_2345-40                      65.0500      4.3125       360      ""                                                                                                                                                      
L5         CompType                               BottomLayer INDC2012L                          56.6000      17.8000      360      "Ferrite bead"                                                                                                                                          
L3         Partnumber                             TopLayer    INDC1005L                          54.8000      45.6000      90       "General 0402 - type Chip Inductor"                                                                                                                     
